,velocity1,velocity2,velocity3,velocity4,avg_velocity,weight,dhweight,horsename,horsenum
3,0.13630641752930342,1.3226874773905273,-1.7611203772037867,,-0.9472369380645929,0.6176405395715359,0.8628302498296313,サイゴウパワー,4
4,-0.39447703359051384,0.330358209466776,-1.7562543928823107,-1.9215380911625715,-2.234787106919738,-1.4219062781502967,-0.7067864812434214,ユウナブランシェ,5
5,-0.517760042237305,-0.8636056074420998,0.6124837859098015,0.5099217169114254,0.5611121365113665,0.8175961099364214,-0.29372944675051277,ノーブルペガサス,6
6,-0.6797649305759036,-0.01871646083930929,0.46628525542009175,0.47062876811931437,0.5120878408098853,-1.941790761098999,-0.21111803985193103,リュウノドール,7
7,-0.7398299495565291,-1.639945179522177,0.5223919585642489,0.4739954402847282,0.396887357512824,0.7776049958634443,-0.5415636674462578,コスモソレイユ,8
8,-0.517760042237305,-0.13385642912634232,0.4949044821128727,0.6391382741132052,0.6406026239645319,0.5776494254985588,-1.037232108837748,ユノートルベル,9
0,1.5427316712232135,0.7850432103503346,2.286006379385483,0.4431197288884429,1.7892282060676208,-0.8356232413601331,0.5039526306789697,グレイトレナウン,1
1,0.4814839351341107,0.4794350844702855,0.22426964599570515,-1.4239801014904336,0.13706026467810664,-0.191835685759719,-0.06299407883487124,フミタツティンクル,2
2,-1.151598212300331,-2.462150735620199,-0.6313697397420021,0.1718317193462146,-1.6976124112532665,-0.6600448171054747,-0.9134141431056326,ガミラスビート,3
3,-0.5550060416432656,-0.47709604237178865,-0.9129839644905805,-0.5329992704506711,-0.8402564234341997,-0.5722556049781455,-0.06299407883487124,チェリールックス,4
4,-0.058462127336414905,0.6012886113886656,0.7067500990526582,1.0936841789557268,0.675141875728209,-0.8356232413601331,-0.06299407883487124,ハシノオージャ,5
5,1.5929965800126489,0.418701944200051,-0.0627601267146047,-1.5001882578324217,0.5648002269800169,2.2662622538054986,-2.0473075621333146,タイセイスマーティ,6
6,-0.7431387651612105,0.5402971698366317,-0.4426346250584862,0.9903731274477678,-0.013203479439940704,0.2763734455860367,0.5039526306789697,ゴリョウサン,7
7,-0.7056369148891193,-0.062569915252271,-0.8193101802584274,-0.23221425231242734,-0.6450388545625654,-0.191835685759719,1.354372694949731,ボヌールアヴ,8
8,-0.403370125039649,0.17705067299825597,-0.3479674881696169,0.9903731274477678,0.029880595236018867,0.7445825769317924,0.7874259854358902,ニシノクローデット,9
