,velocity1,velocity2,velocity3,velocity4,avg_velocity,weight,dhweight,horsename,horsenum,result,time_result,multipul_wins
7,-0.18572076354559866,0.4458565464865035,-0.5189809395166026,0.3344519764534692,-0.15372444481426706,0.8389187818017716,-1.9715091757899137,マウリッツハイス,8,0,1:39:7,0
8,-0.18572076354559866,0.2949086531302653,0.2042929634217128,0.3344519764534692,0.11001712230446622,0.7187154936630104,-0.5081209215953386,エイシンモノリス,9,1,1:37:2,130
9,-0.07752838233755471,0.2949086531302653,-0.7571201021166887,0.025286681623583433,-0.3531009434464285,-0.42321574365522124,0.46747124786771144,ダンサブル,10,0,1:39:2,0
10,1.1272806034604648,1.2052405638325268,1.6078279854923274,0.7496440922703252,1.4318200921255628,0.388156451281417,0.22357320550194892,デュアルハート,11,1,1:38:1,200
11,0.5762769591692817,0.2949086531302653,0.2042929634217128,0.3344519764534692,0.11001712230446622,1.0492745360446039,0.22357320550194892,アワジノサクラ,12,1,1:37:8,220
0,0.7289078104119803,2.2914136812383616,0.13521554731589042,2.274876412696079,2.3691866334848224,0.9710971849560515,-0.6676486478538933,ダンディマジシャン,1,0,1:34:5,0
1,1.4457846858765193,-0.5321803288823898,1.2698260006348634,-0.2749678418764056,-0.10479091943300971,-0.5240260281083599,1.706213211182172,ヴィンテージパール,2,0,1:34:1,0
2,-0.44544129574116337,0.3170050338628787,-0.2822854349967615,-0.23874173717418812,-0.12567125959546901,-0.641290593838902,-0.9643813802334015,バレンタインハート,3,0,1:34:5,0
3,-1.1380701521864192,-0.6078352686358978,0.7006688526696276,-1.2244551817362408,-0.8765532946424472,0.5020389220338832,-0.3709159154743852,メイショウエゾホシ,4,0,1:34:7,0
4,0.2561343274181322,-0.2648255337211934,-1.9070021960999664,-0.20243755897044804,-0.37101948108747235,-0.4360776038104533,-1.2611141126129097,クリームヒルト,5,1,1:34:1,130
5,-0.5614960952274461,-0.9443321604825969,0.3232906785573396,-0.23874173717418812,-0.567194849922895,1.850581427935117,0.5192822816641393,サルバドールサクラ,6,1,1:33:9,290
6,0.9668311937821176,-0.14900887026024598,-0.23971344808101347,0.1649543969257501,0.038015521124684655,-0.758555159569444,0.8160150140436474,エイシンウェルズ,7,1,1:33:2,110
7,-1.2526504743336822,-0.11023655311888711,0.13521554731589042,-0.2604867526903623,-0.36197234992819477,-0.9637681495978926,0.2225495492846311,スターソフィア,8,0,1:34:9,0
0,-0.1173862528244254,-1.0835808513950071,0.7783516956484727,0.44120295307967033,0.15123187661594115,-1.6998128363405247,-0.8925924666248365,タケマルリート,1,0,1:37:2,0
1,0.42001825842255525,-0.28287589040348604,-0.3979979623781719,-1.2436878816129753,-0.5239080743489689,0.9561447204415441,0.5950616444165576,セイウンシヴァ,2,0,1:37:4,0
2,-0.8236368310238608,-0.5514404827194359,-2.072861652312448,-1.4323277341389902,-1.5677259484388075,-0.34232341842968955,1.0909463480970225,グローリーシェリー,3,0,1:39:1,0
3,-1.2591880485741516,-1.2594995520591166,-0.6273738664693748,-0.1523889228513563,-0.8786634611832084,0.07082553484752116,0.3471192925763253,レットイットライド,4,0,1:38:3,0
4,1.055533830859782,0.6245897320535565,-0.10855892639374441,0.30832168401160165,0.45651900256293676,0.720059604283138,1.5868310517774873,エムティストロフィ,5,1,1:37:0,130
5,-1.2591880485741516,-0.46210506739604895,-0.45552207654554344,-0.8629004107081789,-0.858299597573591,-1.52274899922172,0.84300399625679,コウエイサンデー,6,0,1:38:9,0
6,0.7820316073433506,0.992947870556212,1.4470739768690375,1.9850633485779337,1.6094757796495762,0.838102162362341,-0.8925924666248365,フジノビューティ,7,1,1:36:8,110
7,-0.8236368310238608,-0.5514404827194359,-0.10855892639374441,0.17599873960348272,-0.307258470285893,-0.5193872555484941,-0.6446501147846042,アイファークッキー,8,0,1:38:5,0
8,0.5102387727239099,1.8570165728978512,0.6584545189649905,0.574646087978895,0.9936572436521891,1.0151659994811455,-0.8925924666248365,ウインデスティニー,9,0,1:37:4,0
9,1.515213542670852,0.7163881511851419,0.8869932190106459,0.20607213605987926,0.924971649349756,0.48397448812473187,-1.1405348184650688,カーペウィアム,10,1,1:37:0,130
0,-0.0037572930768540384,0.2548389251435286,0.35013318639308816,1.6481497117050028,0.56835344333877,-1.4911693042785408,-0.8136727885154778,アエノライアン,1,1,1:35:6,140
1,0.3343429654459608,0.5976647257624046,0.26283669209351734,-1.3897657423874892,0.19619496221644167,-0.4029392400121498,-0.8136727885154778,キンノイナズマ,2,0,1:36:4,0
